姓名,性别,国籍,出生地,任职起始时间,任职终止时间,出生时间,技能,历任岗位,军衔,院校,学历,奖项,卸任后岗位,毕业时间,飞行时间,,,
Karl O. Thomas,男,美籍,弗吉尼亚州 北部,2018.07.18,,,E-2C,VAW-114 LPH-11_领航员 LHD-2_领航员 VAW-117_航空部门主管 VAW-117_XO VAW-117_CO CVN-69_XO CVN-73_XO LCC-17_CO CVN-72_CO CVN-70_CO,少将, 伦斯勒理工学院 蒙特利海军研究生院,管理系统 信息技术硕士,,,1986,,,,
Marc H. Dalton,男,美籍,,2017.09.18,2018.07.18,,,CGN-9_部门总监 第1巡洋驱逐舰中队 CG-63_武器部军官 CG-63_战斗系统军官 CVN-65_消防队长 CG-54_XO FFG-28_CO CVN-76_反应堆军官 DESRON-21_XO DESRON-21_CO 第七舰队两栖部队_CO,少将,美国海军学院 哈佛大学肯尼迪政府学院,系统工程 公共管理硕士,Defense Superior Service Medal;Legion of Merit;Meritorious Service Medal;Commendation Medal;Achievement Medal;,美国太平洋舰队_海上行动主管,1987,,,,
Charles F. Williams,男,美籍,弗吉尼亚州,2016.07.30,2017.09.17,,,DDG-989_助理军官 DDG-989_损害控制助理 DDG-967_工程师军官 DDG-54_XO PC-10_CO DDG-63_CO DESRON-15_XO 第七舰队突击部队_CO 第七舰队_XO 海军水面作战系统_XO ,少将,弗吉尼亚大学 海军研究生院 海军指挥与参谋学院,历史 系统工程硕士 国家安全硕士,Defense Meritorious Service Medal;Legion of Merit;Meritorious Service Medal,,1985,,,,
John D. Alexander,男,美籍,德克萨斯州 内奇斯港, 2014.10.05,2016.07.29,,飞行员 A-6E EA-6B 杰出工程师 杰出校友,VA-165 第3巡洋驱逐舰中队_攻击行动军官 CVN-69_XO VA-128_A-6E教员 VAQ-129_军官 联合参谋部_主任行政助理 VAQ-135_CO LPD-10_CO CVN-72_CO,少将,德克萨斯理工大学 伦敦大学国王学院,机械工程 国防研究文学硕士,Defense Superior Service Medal;Legion of Merit;Meritorious Service Medal;Air Medal;Commendation Medal;Achievement Medal,第3舰队_CO,,3200,,,
Robert P.Girrier,男,美籍,,2011,,,谈判 解决冲突,美国太平洋舰队_副指挥 美国太平洋司令部_J3作战主任 CSG-7_CO CSG-11_CO 海军水雷和反潜作战司令部_副司令 DESRON-15_CO DDG-80_CO MCM-5_CO,少将,美国海军学院 美国大学国际服务学院 罗德岛大学 哈佛大学肯尼迪政府学院,国际事务文学硕士 海洋事务硕士 公共管理硕士莫罗学者,Defense Superior Service Medal;Legion of Merit,,1983,,,,
Thomas S. Rowden,男,美籍,华盛顿特区,2009.09.18,,,,DDG-69_CO CVN-73_反应堆军官 DESRON-60_CO CSG-7_CO CSG-11_CO 联合参谋部国防和太空行动部门_行动官员 水面作战_主管行政助理 ,少将,美国海军学院 美国海军战争学院,国家安全和战略研究文学硕士,Distinguished Service Medal;Legion of Merit;Meritorious Service Medal;Commendation Medal;Achievement Medal,,1982,,,,
James P. Wisecup,男,美籍,俄亥俄州 皮奎,2007.11.16,2008,1955,,CG-50_XO DDG-994_CO DESRON-21_CO CSG-7_CO ,少将,美国海军学院 南加利福尼亚大学 海军战争学院,国际关系硕士 ,Defense Distinguished Service Medal;Legion of Merit;Bronze Star;,,1977,,,,
Charles W. Martoglio,男,美籍,康涅狄格州 西哈特福德市,2007.01.25,2007.11.16,,危机管理 策略计划 应急计划和执行,DDG-34_射击和导弹军官 第5巡洋驱逐舰中队 CG-52_武器军官 CG-52_操作军官 DDG-52_XO DDG-62_CO DESRON-23_CO CSG-7_CO 太平洋舰队训练司令部_指挥官行政助理,少将,美国海军学院 美国海军战争学院,国家安全与战略研究硕士,Defense Superior Service Medal;Legion of Merit;Meritorious Service Medal;Commendation Medal;Achievement Medal;,,1978,,,,
Michael H. Miller,男,美籍,北达科他州 迈诺特,2005.04.15,2007.01.25,1952.06.04,飞行员 S-3A/B ,美国大西洋舰队_副总司令助手 第一海上打击中队_参谋长 太平洋海军航空兵_指挥官行政助理 CSG-8_指挥官空中行动军官 CV-67_XO AGF-11_CO LCC-19_行动军官 白宫军事办公室_副主任 白宫军事办公室_主任 CSG-7_CO ,少将,美国海军学院 ,,Defense Distinguished Service Medal;Legion of Merit;Distinguished Service Medal;Bronze Star;Air Medals;Meritorious Service Medal;Joint Service Commendation Medal;Navy Commendation Medal;Navy Achievement Medal,,1974,,,,
Robert Thomas Moeller,男,美籍,新泽西州,2003.08,2004.08.06,1952.02.29,,CG-10 FFG-6_消防和锅炉军官 DESRON-21_战斗系统和物资军官 CG-50_预调工程师 CG-26_XO CG-26_CO CG-73_CO 系统分析部门_分析师 水面作战军官学校_CO N3N5N7_副参谋长 JTF_行动主任 美国太平洋舰队_CO CDG-1_CO,少将,圣母大学 乔治城大学,国家安全研究硕士,Defense Superior Service Medal;Legion of Merit;Defense Meritorious Service Medal;Meritorious Service Medal;Commendation Medal,,1974,,,,